Season,Champions (number of titles),Runners-up,Third place,Winning manager
1983–84,Liverpool[e][f] (15),Southampton,Nottingham Forest,Joe Fagan
1984–85,Everton[h] (8),Liverpool,Tottenham Hotspur,Howard Kendall
1985–86,Liverpool[b] (16),Everton,West Ham United,Kenny Dalglish
1986–87,Everton (9),Liverpool,Tottenham Hotspur,Howard Kendall
1987–88,Liverpool (17),Manchester United,Nottingham Forest,Kenny Dalglish
1988–89,Arsenal (9),Liverpool,Nottingham Forest,George Graham
1989–90,Liverpool (18),Aston Villa,Tottenham Hotspur,Kenny Dalglish
1990–91,Arsenal (10),Liverpool,Crystal Palace,George Graham
1991–92,Leeds United (3),Manchester United,Sheffield Wednesday,Howard Wilkinson
1992–93,Manchester United (8),Aston Villa,Norwich City,Alex Ferguson
1993–94,Manchester United[b] (9),Blackburn Rovers,Newcastle United,Alex Ferguson
1994–95,Blackburn Rovers (3),Manchester United,Nottingham Forest,Kenny Dalglish
1995–96,Manchester United[b] (10),Newcastle United,Liverpool,Alex Ferguson
1996–97,Manchester United (11),Newcastle United,Arsenal,Alex Ferguson
1997–98,Arsenal[b] (11),Manchester United,Liverpool,Arsène Wenger
1998–99,Manchester United[i] (12),Arsenal,Chelsea,Alex Ferguson
1999–00,Manchester United[j] (13),Arsenal,Leeds United,Alex Ferguson
2000–01,Manchester United (14),Arsenal,Liverpool,Alex Ferguson
2001–02,Arsenal[b] (12),Liverpool,Manchester United,Arsène Wenger
2002–03,Manchester United (15),Arsenal,Newcastle United,Alex Ferguson
2003–04,Arsenal[a] (13),Chelsea,Manchester United,Arsène Wenger
2004–05,Chelsea[f] (2),Arsenal,Manchester United,José Mourinho
2005–06,Chelsea (3),Manchester United,Liverpool,José Mourinho
2006–07,Manchester United (16),Chelsea,Liverpool,Alex Ferguson
2007–08,Manchester United[e] (17),Chelsea,Arsenal,Alex Ferguson
2008–09,Manchester United[f][k] (18),Liverpool,Chelsea,Alex Ferguson
2009–10,Chelsea[b] (4),Manchester United,Arsenal,Carlo Ancelotti
2010–11,Manchester United (19),Chelsea,Manchester City,Alex Ferguson
2011–12,Manchester City (3),Manchester United,Arsenal,Roberto Mancini
2012–13,Manchester United (20),Manchester City,Chelsea,Alex Ferguson
2013–14,Manchester City[f] (4),Liverpool,Chelsea,Manuel Pellegrini
2014–15,Chelsea[f] (5),Manchester City,Arsenal,José Mourinho
2015–16,Leicester City (1),Arsenal,Tottenham Hotspur,Claudio Ranieri
2016–17,Chelsea (6),Tottenham Hotspur,Manchester City,Antonio Conte
2017–18,Manchester City[f] (5),Manchester United,Tottenham Hotspur,Pep Guardiola
2018–19,Manchester City[l] (6),Liverpool,Chelsea,Pep Guardiola
2019–20,Liverpool (19),Manchester City,Manchester United,Jürgen Klopp
2020–21,Manchester City[f] (7),Manchester United,Liverpool,Pep Guardiola
2021–22,Manchester City (8),Liverpool,Chelsea,Pep Guardiola
2022–23,Manchester City[m] (9),Arsenal,Manchester United,Pep Guardiola
2023–24,Manchester City (10),Arsenal,Liverpool,Pep Guardiola
